id,orgId,orgName,contactPhone,contactWebsite,characteristic,appointments,offerings,billingOptions,booking,addressLine1,addressLine2,addressLine3,postcode,suburb,state,lat,lon,updatedTime,dateAsAt
00198974-b5dd-4418-8487-d64b78402c0f,a3af47bd-5494-40f7-4233-1ba6e96a374b,DoctorGaia Medical Clinic,0393869388,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,44 Sydney Rd,3058,COBURG,VIC,-37.754171,144.964668,2021-06-28T23:15:32Z,2021-07-27
001d73db-1502-4731-0b74-85e4c1282605,aaa0697b-aecb-40ac-f994-6a5ed46ce524,Chisholm Family Practice,0296747699,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,187 Caroline Chisholm Dr,2153,WINSTON HILLS,NSW,-33.773689,150.970323,2021-06-28T23:15:32Z,2021-07-27
001e6fe8-ec7c-4b77-3be5-30e1c912693a,890145e8-66a5-4451-0866-f5bbbbb609b9,Junee Medical Centre,0269243022,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,98 Broadway,2663,JUNEE,NSW,-34.867085,147.582809,2021-06-28T23:15:32Z,2021-07-27
0022584f-4ca1-4e90-c3d2-de7a12fa6330,90f267a6-bfdb-4406-bec8-4474a7b7b792,Cabarita Beach Medical Centre,0266761461,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,HotDoc,,,22 Tweed Coast Rd,2488,CABARITA BEACH,NSW,-28.330272,153.569432,2021-07-19T00:15:50Z,2021-07-27
003fa484-6919-4c4e-b282-5297565eacfc,49a6aea7-3800-485f-9c6c-99ab5c877da8,Langford Medical Centre,0894511377,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,Unit 6,76 Langford Ave,6147,LANGFORD,WA,-32.043291,115.942613,2021-07-07T02:13:10Z,2021-07-27
006c9832-b914-44c1-76e3-291da0ecbe94,ede56df6-a99a-475e-bcb8-b369ff0bade4,Advance Liverpool Medical Centre,0298211244,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,240 - 242 Macquarie St,2170,LIVERPOOL,NSW,-33.923266,150.923741,2021-07-19T05:40:22Z,2021-07-27
007c3dcc-58f6-431a-46e1-e3d7bfad1e8a,8cd62dfe-bbe4-4ce5-c2d5-cebf07d2b996,979 Medical Centre,0395703366,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Health Engine,,,979 Centre Rd,3165,BENTLEIGH EAST,VIC,-37.923173,145.07735,2021-07-09T01:28:31Z,2021-07-27
00821293-2c04-412a-be81-ea0a4d89f0db,2a078343-1264-42fc-27b0-26016a31047d,TLC Primary Care - Frankston North,0387792600,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Previously Pines Forest Primary School,,23 Forest Dr,3200,FRANKSTON NORTH,VIC,-38.122918,145.146851,2021-06-28T23:15:32Z,2021-07-27
0089e851-3421-460b-4f34-9c94d39019b1,dcb52362-b967-4574-b138-1889b3ac90e9,Horsham Community Clinic,1800675398,,State-based Regional/Community Clinic,Yes,"COVID-19 Vaccine - Pfizer, COVID-19 Vaccine - AstraZeneca",No Fee,Victoria Department of Health,,,20 Mclachlan St,3400,HORSHAM,VIC,-36.712728,142.2019,2021-06-18T00:03:44Z,2021-07-27
008ed0b5-b591-4a17-886c-4b8217978bc6,68d47d30-bd0d-4add-9530-47b7f96e9111,Medi7 Bentleigh,N/A,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Healthsite,,,463 Centre Rd,3204,BENTLEIGH,VIC,-37.91855,145.041181,2021-07-07T03:24:35Z,2021-07-27
0094ac56-3006-4960-6c88-a66688e8a451,e2ee9d84-a0cc-4cbf-2eac-03face1528a1,Quakers Court Medical Centre,0296262804,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,168 Falmouth Rd,2763,QUAKERS HILL,NSW,-33.73948,150.885615,2021-06-28T23:15:32Z,2021-07-27
00969ab0-b8b2-4934-c403-a901cae75a11,097de4d5-4229-48ce-d43c-c655d1cdb3e4,Wheatbelt Health Network,08 9621 4444,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,Wheatbelt Health Centre,,25 Holtfreter Ave,6401,NORTHAM,WA,-31.65139088,116.6571181,2021-06-28T23:15:32Z,2021-07-27
00998af1-bf3f-4f86-b86b-ab4bf6459b42,eb57d0a1-269e-444e-bf3e-780e2f18ae66,Southern Cross General Practice,0890491147,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,Unknown,,,17 Achernar St,6426,SOUTHERN CROSS,WA,-31.230218,119.328419,2021-06-28T23:15:32Z,2021-07-27
009e698b-4f77-44ac-034e-b13164a29232,f5c003bf-ad70-4bdd-50d1-ee23901b342b,Fountain Corner Family Practice,0883731797,,General Practice,Yes,COVID-19 Vaccine - Pfizer,Bulk Billing Only,Unknown,,,57 - 59 Unley Rd,5063,PARKSIDE,SA,-34.944662,138.607342,2021-07-07T02:11:34Z,2021-07-27
00a1629f-122d-4115-cbf8-b22d6f80f702,44d2cc63-c036-49d5-678b-c0afeb09698b,Belridge Medical Group,08 9307 0707,,General Practice,Yes,"COVID-19 Vaccine - AstraZeneca - Age 40 to 59, COVID-19 Vaccine - AstraZeneca",Bulk Billing Only,HotDoc,,,Ocean Reed Rd,6027,BELDON,WA,-31.770081,115.768051,2021-06-28T23:15:32Z,2021-07-27
