DATE_AS_AT,AGG_LEVEL,STATE,ABS_CODE,ABS_NAME,AGE_LOWER,AGE_UPPER,AIR_FIRST_DOSE_PCT,AIR_SECOND_DOSE_PCT,AIR_FIRST_DOSE_APPROX_COUNT,AIR_SECOND_DOSE_APPROX_COUNT,ABS_ERP_2019_POPULATION,MASKED,SA4_CODE_2016,SA3_CODE_2016,VALIDATED,URL
2021-08-27,ASGS_2020_LGA,NSW,10050,Albury (C),15,999,58.9,30.3,25788,13266,43782,N,109,10901,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10180,Armidale Regional (A),15,999,59.5,31.7,15094,8042,25368,N,110;108,11001;10802;11002,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10250,Ballina (A),15,999,62.4,38.4,23165,14256,37124,N,112,11201;11202,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10300,Balranald (A),15,999,43.9,27.2,816,506,1859,N,109,10902,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10470,Bathurst Regional (A),15,999,58.6,31.2,20575,10955,35111,N,103,10301;10303,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10500,Bayside (A),15,999,63.1,30.8,95121,46430,150746,N,117;119,11701;11904,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10550,Bega Valley (A),15,999,70.2,41.2,20296,11912,28912,N,101,10104;10103,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10600,Bellingen (A),15,999,64.3,35.9,6875,3838,10692,N,104;108,10402;10802,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10650,Berrigan (A),15,999,66.1,43.1,4830,3149,7307,N,109,10903,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
2021-08-27,ASGS_2020_LGA,NSW,10750,Blacktown (C),15,999,73.8,35.4,213440,102382,289214,N,116,11603;11602;11601,Y,https://www.health.gov.au/sites/default/files/documents/2021/08/covid-19-vaccination-local-government-area-lga-28-august-2021.pdf
