"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2019","2019",10054,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","10202","Wyong","A","Annual","2019","2019",10305,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2019","2019",8098,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2019","2019",1368,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2019","2019",1529,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2019","2019",3186,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2019","2019",10987,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2019","2019",9200,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2019","2019",10021,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2019","2019",3281,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2019","2019",3081,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2019","2019",9244,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2019","2019",7687,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2019","2019",7974,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11901","Bankstown","A","Annual","2019","2019",13750,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11902","Canterbury","A","Annual","2019","2019",10743,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11903","Hurstville","A","Annual","2019","2019",7392,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","11904","Kogarah - Rockdale","A","Annual","2019","2019",9225,,
"ERP","Estimated Resident Population","3","Persons","A04","0 - 4","SA3","Statistical Area Level 3","12001","Canada Bay","A","Annual","2019","2019",5660,,
