MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80000009499,89499,No usual address (ACT),8,Australian Capital Territory,0
80000010000,89399,Unincorporated ACT,8,Australian Capital Territory,0.6714
80000020000,89399,Unincorporated ACT,8,Australian Capital Territory,5.8873
80000030000,89399,Unincorporated ACT,8,Australian Capital Territory,0.3145
80000040000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1511
80000051000,89399,Unincorporated ACT,8,Australian Capital Territory,1.4262
80000052000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1369
80000060000,89399,Unincorporated ACT,8,Australian Capital Territory,0.4618
80000070000,89399,Unincorporated ACT,8,Australian Capital Territory,2.3264
80000080000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0391
80000090000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0399
80000100000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0055
80000110000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0446
80000130000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0375
80000140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0205
80000150000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0379
80000160000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0371
80000170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0282
80000180000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0303
80000190000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0511
80000200000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0075
80000210000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0053
80000220000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0051
80000230000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0491
80000240000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0405
80000250000,89399,Unincorporated ACT,8,Australian Capital Territory,0.023
80000260000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0387
80000270000,89399,Unincorporated ACT,8,Australian Capital Territory,0.009
80000280000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0251
80000290000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0511
80000300000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0465
80000310000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0391
80000320000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0224
80000330000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0232
80000340000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0873
80000350000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0356
80000360000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0066
80000370000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0072
80000380000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0021
80000390000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0108
80000400000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0025
80000410000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0345
80000421000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0258
80000422000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0332
80000430000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0453
80000440000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0435
80000450000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0407
80000460000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0342
80000470000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0293
80000480000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0491
80000490000,89399,Unincorporated ACT,8,Australian Capital Territory,0.039
80000500000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0322
80000510000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0443
80000520000,89399,Unincorporated ACT,8,Australian Capital Territory,0.027
80000530000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0131
80000540000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0509
80000550000,89399,Unincorporated ACT,8,Australian Capital Territory,0.036
80000560000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0342
80000570000,89399,Unincorporated ACT,8,Australian Capital Territory,0.3342
80000580000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0419
80000590000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0503
80000600000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0323
80000610000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0362
80000620000,89399,Unincorporated ACT,8,Australian Capital Territory,0.047
80000630000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0446
80000640000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0371
80000650000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0491
80000660000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0894
80000670000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0436
80000680000,89399,Unincorporated ACT,8,Australian Capital Territory,0.034
80000690000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0345
80000700000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0496
80000740000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0673
80000750000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0353
80000760000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0755
80000780000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0646
80000790000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0614
80000800000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0538
