MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
70000009499,79499,No usual address (NT),7,Northern Territory,0
70000011000,70200,Alice Springs (T),7,Northern Territory,0.2797
70000012000,70200,Alice Springs (T),7,Northern Territory,0.1552
70000013000,70200,Alice Springs (T),7,Northern Territory,0.0674
70000014000,70200,Alice Springs (T),7,Northern Territory,0.1533
70000020000,70200,Alice Springs (T),7,Northern Territory,5.7018
70000050000,70200,Alice Springs (T),7,Northern Territory,8.771
70000071000,70200,Alice Springs (T),7,Northern Territory,2.7086
70000072000,70200,Alice Springs (T),7,Northern Territory,0.0868
70000081000,70200,Alice Springs (T),7,Northern Territory,0.2555
70000082000,70200,Alice Springs (T),7,Northern Territory,0.0763
70000083000,70200,Alice Springs (T),7,Northern Territory,0.0175
70000090000,70200,Alice Springs (T),7,Northern Territory,0.0393
70000100000,70200,Alice Springs (T),7,Northern Territory,0.2885
70000110000,70200,Alice Springs (T),7,Northern Territory,0.0327
70000120000,70200,Alice Springs (T),7,Northern Territory,0.0524
70000140000,70200,Alice Springs (T),7,Northern Territory,0.1924
70000151000,70200,Alice Springs (T),7,Northern Territory,0.4141
70000152000,70200,Alice Springs (T),7,Northern Territory,0.2493
70000153000,70200,Alice Springs (T),7,Northern Territory,0.2201
70000160000,70200,Alice Springs (T),7,Northern Territory,0.0464
70000170000,70200,Alice Springs (T),7,Northern Territory,19.7862
70000180000,70200,Alice Springs (T),7,Northern Territory,0.0846
70000190000,70200,Alice Springs (T),7,Northern Territory,0.0447
70000200000,70200,Alice Springs (T),7,Northern Territory,0.0729
70000211000,70200,Alice Springs (T),7,Northern Territory,0.1409
70000212000,70200,Alice Springs (T),7,Northern Territory,0.1513
70000214000,70200,Alice Springs (T),7,Northern Territory,0.1305
70000215000,70200,Alice Springs (T),7,Northern Territory,0.1366
70000220000,70200,Alice Springs (T),7,Northern Territory,0.0339
70000230000,70200,Alice Springs (T),7,Northern Territory,0.0504
70000240000,70200,Alice Springs (T),7,Northern Territory,0.0627
70000250000,70200,Alice Springs (T),7,Northern Territory,0.0732
70000260000,70200,Alice Springs (T),7,Northern Territory,0.0605
70000270000,70200,Alice Springs (T),7,Northern Territory,0.0673
70000280000,70200,Alice Springs (T),7,Northern Territory,0.0539
70000290000,70200,Alice Springs (T),7,Northern Territory,0.0541
70000300000,70200,Alice Springs (T),7,Northern Territory,0.0568
