MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
90000009499,99499,No usual address (OT),9,Other Territories,0
90000010000,99399,Unincorp. Other Territories,9,Other Territories,2.1471
90000020000,99399,Unincorp. Other Territories,9,Other Territories,4.3368
90000030000,99399,Unincorp. Other Territories,9,Other Territories,3.1419
90000040000,99399,Unincorp. Other Territories,9,Other Territories,28.8627
90000050000,99399,Unincorp. Other Territories,9,Other Territories,0.6759
90000060000,99399,Unincorp. Other Territories,9,Other Territories,0.0295
90000070000,99399,Unincorp. Other Territories,9,Other Territories,28.1281
90000080000,99399,Unincorp. Other Territories,9,Other Territories,0.0418
90000091000,99399,Unincorp. Other Territories,9,Other Territories,0.4086
90000092000,99399,Unincorp. Other Territories,9,Other Territories,0.041
90000101000,99399,Unincorp. Other Territories,9,Other Territories,127.4113
90000102000,99399,Unincorp. Other Territories,9,Other Territories,5.7942
90000103000,99399,Unincorp. Other Territories,9,Other Territories,0.858
90000111000,99399,Unincorp. Other Territories,9,Other Territories,0.5985
90000112000,99399,Unincorp. Other Territories,9,Other Territories,0.2232
90000113000,99399,Unincorp. Other Territories,9,Other Territories,0.6799
90000114000,99399,Unincorp. Other Territories,9,Other Territories,0.2036
90000121000,99399,Unincorp. Other Territories,9,Other Territories,0.0777
90000122000,99399,Unincorp. Other Territories,9,Other Territories,0.0773
90000123000,99399,Unincorp. Other Territories,9,Other Territories,0.2119
90000130000,99399,Unincorp. Other Territories,9,Other Territories,1.047
90000150000,99399,Unincorp. Other Territories,9,Other Territories,0.0009
90000160000,99399,Unincorp. Other Territories,9,Other Territories,0.0017
90000170000,99399,Unincorp. Other Territories,9,Other Territories,0.0004
90000180000,99399,Unincorp. Other Territories,9,Other Territories,0.8926
90000190000,99399,Unincorp. Other Territories,9,Other Territories,0.0007
90000200000,99399,Unincorp. Other Territories,9,Other Territories,0.0012
90000210000,99399,Unincorp. Other Territories,9,Other Territories,0.0604
90000220000,99399,Unincorp. Other Territories,9,Other Territories,0.0008
90000230000,99399,Unincorp. Other Territories,9,Other Territories,0.0172
90000240000,99399,Unincorp. Other Territories,9,Other Territories,0.0113
90000250000,99399,Unincorp. Other Territories,9,Other Territories,0.0356
90000260000,99399,Unincorp. Other Territories,9,Other Territories,0.0003
90000270000,99399,Unincorp. Other Territories,9,Other Territories,0.0033
90000280000,99399,Unincorp. Other Territories,9,Other Territories,0.0599
90000290000,99399,Unincorp. Other Territories,9,Other Territories,0.0026
90000300000,99399,Unincorp. Other Territories,9,Other Territories,0.0001
90000310000,99399,Unincorp. Other Territories,9,Other Territories,0.0007
90000320000,99399,Unincorp. Other Territories,9,Other Territories,0.0036
90000330000,99399,Unincorp. Other Territories,9,Other Territories,0.1001
90000340000,99399,Unincorp. Other Territories,9,Other Territories,0.0141
90000350000,99399,Unincorp. Other Territories,9,Other Territories,0.0024
90000360000,99399,Unincorp. Other Territories,9,Other Territories,0.004
90000370000,99399,Unincorp. Other Territories,9,Other Territories,0.002
90000380000,99399,Unincorp. Other Territories,9,Other Territories,0.001
90000390000,99399,Unincorp. Other Territories,9,Other Territories,0.1921
90000400000,99399,Unincorp. Other Territories,9,Other Territories,0.0023
90000410000,99399,Unincorp. Other Territories,9,Other Territories,0.0011
90000420000,99399,Unincorp. Other Territories,9,Other Territories,0.0027
90000430000,99399,Unincorp. Other Territories,9,Other Territories,0.0431
90000440000,99399,Unincorp. Other Territories,9,Other Territories,0.0035
90000450000,99399,Unincorp. Other Territories,9,Other Territories,0.002
90000460000,99399,Unincorp. Other Territories,9,Other Territories,0.0024
90000470000,99399,Unincorp. Other Territories,9,Other Territories,0.0206
90000480000,99399,Unincorp. Other Territories,9,Other Territories,0.1946
90000490000,99399,Unincorp. Other Territories,9,Other Territories,0.0099
90000500000,99399,Unincorp. Other Territories,9,Other Territories,0.0017
90000510000,99399,Unincorp. Other Territories,9,Other Territories,0.0069
90000520000,99399,Unincorp. Other Territories,9,Other Territories,1.1676
90000530000,99399,Unincorp. Other Territories,9,Other Territories,0.0161
90000540000,99399,Unincorp. Other Territories,9,Other Territories,0.003
90000550000,99399,Unincorp. Other Territories,9,Other Territories,0.002
90000560000,99399,Unincorp. Other Territories,9,Other Territories,0.0029
90000570000,99399,Unincorp. Other Territories,9,Other Territories,5.8064
90000580000,99399,Unincorp. Other Territories,9,Other Territories,0.0055
90000590000,99399,Unincorp. Other Territories,9,Other Territories,0.0016
90000600000,99399,Unincorp. Other Territories,9,Other Territories,0.0023
90000610000,99399,Unincorp. Other Territories,9,Other Territories,0.0142
90000620000,99399,Unincorp. Other Territories,9,Other Territories,0.0011
90000630000,99399,Unincorp. Other Territories,9,Other Territories,0.3196
90000640000,99399,Unincorp. Other Territories,9,Other Territories,0.0017
90000650000,99399,Unincorp. Other Territories,9,Other Territories,0.0296
90000660000,99399,Unincorp. Other Territories,9,Other Territories,3.5612
90000670000,99399,Unincorp. Other Territories,9,Other Territories,0.0204
90000680000,99399,Unincorp. Other Territories,9,Other Territories,0.0067
90000690000,99399,Unincorp. Other Territories,9,Other Territories,0.0076
90000700100,99399,Unincorp. Other Territories,9,Other Territories,2.3866
90000700200,99399,Unincorp. Other Territories,9,Other Territories,1.519
90000700300,99399,Unincorp. Other Territories,9,Other Territories,0.6983
90000701000,99399,Unincorp. Other Territories,9,Other Territories,0.5546
90000701100,99399,Unincorp. Other Territories,9,Other Territories,4.9152
90000701200,99399,Unincorp. Other Territories,9,Other Territories,0.6946
90000701300,99399,Unincorp. Other Territories,9,Other Territories,1.1902
90000702000,99399,Unincorp. Other Territories,9,Other Territories,0.8364
90000702200,99399,Unincorp. Other Territories,9,Other Territories,2.5094
90000702300,99399,Unincorp. Other Territories,9,Other Territories,0.7282
90000703000,99399,Unincorp. Other Territories,9,Other Territories,2.2756
90000703100,99399,Unincorp. Other Territories,9,Other Territories,3.4463
90000703200,99399,Unincorp. Other Territories,9,Other Territories,0.5887
90000703300,99399,Unincorp. Other Territories,9,Other Territories,0.8886
90000704000,99399,Unincorp. Other Territories,9,Other Territories,0.0803
90000704100,99399,Unincorp. Other Territories,9,Other Territories,1.2368
90000704200,99399,Unincorp. Other Territories,9,Other Territories,0.4338
90000704300,99399,Unincorp. Other Territories,9,Other Territories,1.3676
90000705000,99399,Unincorp. Other Territories,9,Other Territories,0.0164
90000705100,99399,Unincorp. Other Territories,9,Other Territories,0.7769
90000705200,99399,Unincorp. Other Territories,9,Other Territories,0.0255
90000705300,99399,Unincorp. Other Territories,9,Other Territories,0.3564
90000706000,99399,Unincorp. Other Territories,9,Other Territories,0.0113
90000706100,99399,Unincorp. Other Territories,9,Other Territories,2.8439
90000706200,99399,Unincorp. Other Territories,9,Other Territories,1.354
90000706300,99399,Unincorp. Other Territories,9,Other Territories,0.7051
90000707000,99399,Unincorp. Other Territories,9,Other Territories,0.0094
90000707100,99399,Unincorp. Other Territories,9,Other Territories,0.7902
90000707200,99399,Unincorp. Other Territories,9,Other Territories,0.4695
90000707300,99399,Unincorp. Other Territories,9,Other Territories,0.4363
90000708000,99399,Unincorp. Other Territories,9,Other Territories,0.0085
90000708100,99399,Unincorp. Other Territories,9,Other Territories,2.2211
90000708200,99399,Unincorp. Other Territories,9,Other Territories,2.1957
90000709000,99399,Unincorp. Other Territories,9,Other Territories,0.0079
90000710000,99399,Unincorp. Other Territories,9,Other Territories,0.0061
90000711000,99399,Unincorp. Other Territories,9,Other Territories,0.0054
90000712000,99399,Unincorp. Other Territories,9,Other Territories,0.0053
90000713000,99399,Unincorp. Other Territories,9,Other Territories,0.0053
90000714000,99399,Unincorp. Other Territories,9,Other Territories,0.005
90000715000,99399,Unincorp. Other Territories,9,Other Territories,0.0047
90000716000,99399,Unincorp. Other Territories,9,Other Territories,0.0041
90000717000,99399,Unincorp. Other Territories,9,Other Territories,0.0037
90000718000,99399,Unincorp. Other Territories,9,Other Territories,0.0034
90000719000,99399,Unincorp. Other Territories,9,Other Territories,0.0033
90000720000,99399,Unincorp. Other Territories,9,Other Territories,0.0032
90000721000,99399,Unincorp. Other Territories,9,Other Territories,0.0031
90000722000,99399,Unincorp. Other Territories,9,Other Territories,0.003
90000723000,99399,Unincorp. Other Territories,9,Other Territories,0.0026
90000724000,99399,Unincorp. Other Territories,9,Other Territories,0.0024
90000725000,99399,Unincorp. Other Territories,9,Other Territories,0.0023
90000726000,99399,Unincorp. Other Territories,9,Other Territories,0.0019
90000727000,99399,Unincorp. Other Territories,9,Other Territories,0.0017
90000728000,99399,Unincorp. Other Territories,9,Other Territories,0.0016
90000730000,99399,Unincorp. Other Territories,9,Other Territories,0.0013
90000731000,99399,Unincorp. Other Territories,9,Other Territories,0.0011
90000732000,99399,Unincorp. Other Territories,9,Other Territories,0.0011
90000733000,99399,Unincorp. Other Territories,9,Other Territories,0.001
97000001777,99799,Migratory - Offshore - Shipping (OT),9,Other Territories,0
97000002777,99799,Migratory - Offshore - Shipping (OT),9,Other Territories,0
97000003777,99799,Migratory - Offshore - Shipping (OT),9,Other Territories,0
