MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
30000009499,39499,No usual address (Qld),3,Queensland,0
30000010000,37010,Townsville (C),3,Queensland,0.0387
30000020000,37010,Townsville (C),3,Queensland,0.0071
30000030000,37010,Townsville (C),3,Queensland,0.0004
30000050000,30410,Barcaldine (R),3,Queensland,0.0432
30000160000,30410,Barcaldine (R),3,Queensland,0.2156
30000170000,30410,Barcaldine (R),3,Queensland,0.1523
30000180000,30410,Barcaldine (R),3,Queensland,0.1358
30000190000,30410,Barcaldine (R),3,Queensland,0.1544
30000200000,30410,Barcaldine (R),3,Queensland,0.231
30000210000,30410,Barcaldine (R),3,Queensland,0.0555
30000220000,30410,Barcaldine (R),3,Queensland,0.1498
30000230000,30410,Barcaldine (R),3,Queensland,0.1031
30000241000,30410,Barcaldine (R),3,Queensland,2230.4274
30000242000,30410,Barcaldine (R),3,Queensland,34.8317
30000243000,30410,Barcaldine (R),3,Queensland,1506.7785
30000250000,30410,Barcaldine (R),3,Queensland,1892.4087
30000271000,30410,Barcaldine (R),3,Queensland,1165.9745
30000290000,30410,Barcaldine (R),3,Queensland,0.1106
30000300000,30410,Barcaldine (R),3,Queensland,0.1589
30000310000,30410,Barcaldine (R),3,Queensland,0.3079
30000320000,30410,Barcaldine (R),3,Queensland,0.0871
30000342000,30410,Barcaldine (R),3,Queensland,0.0527
30000350000,30410,Barcaldine (R),3,Queensland,0.2726
30000361000,30410,Barcaldine (R),3,Queensland,1877.3209
30000362000,30410,Barcaldine (R),3,Queensland,38.2435
30000370000,30410,Barcaldine (R),3,Queensland,6287.4989
30000380000,30410,Barcaldine (R),3,Queensland,60.1718
30000421000,30410,Barcaldine (R),3,Queensland,2709.728
30000422000,30410,Barcaldine (R),3,Queensland,1362.4154
30000440000,36820,Tablelands (R),3,Queensland,0.0353
30000450000,36820,Tablelands (R),3,Queensland,0.033
30000460000,36820,Tablelands (R),3,Queensland,0.0664
30000470000,36820,Tablelands (R),3,Queensland,0.037
30000480000,36820,Tablelands (R),3,Queensland,0.0097
30000490000,36820,Tablelands (R),3,Queensland,0.0288
30000500000,36820,Tablelands (R),3,Queensland,0.0458
30000510000,36820,Tablelands (R),3,Queensland,0.0512
30000520000,36820,Tablelands (R),3,Queensland,5.2301
30000530000,36820,Tablelands (R),3,Queensland,0.0447
30000540000,36820,Tablelands (R),3,Queensland,0.1388
30000560000,36820,Tablelands (R),3,Queensland,1.2519
30000580000,36820,Tablelands (R),3,Queensland,0.4153
30000590000,36820,Tablelands (R),3,Queensland,0.2894
30000600000,36820,Tablelands (R),3,Queensland,0.4066
30000610000,36820,Tablelands (R),3,Queensland,0.5264
30000621000,36820,Tablelands (R),3,Queensland,0.2398
30000622000,36820,Tablelands (R),3,Queensland,0.1511
30000623000,36820,Tablelands (R),3,Queensland,0.1863
30000630000,36820,Tablelands (R),3,Queensland,0.3701
30000642000,36820,Tablelands (R),3,Queensland,0.0463
30000643000,36820,Tablelands (R),3,Queensland,0.0439
30000644000,36820,Tablelands (R),3,Queensland,0.047
30000652000,36820,Tablelands (R),3,Queensland,0.0331
30000660000,36820,Tablelands (R),3,Queensland,0.0316
30000670000,36820,Tablelands (R),3,Queensland,0.0958
30000680000,36820,Tablelands (R),3,Queensland,0.098
30000691000,36820,Tablelands (R),3,Queensland,0.8483
30000692000,36820,Tablelands (R),3,Queensland,0.0881
30000700000,36820,Tablelands (R),3,Queensland,0.0945
30000710000,36820,Tablelands (R),3,Queensland,0.1401
30000720000,36820,Tablelands (R),3,Queensland,0.1671
30000731000,36820,Tablelands (R),3,Queensland,6.0644
30000732000,36820,Tablelands (R),3,Queensland,14.9398
30000733000,36820,Tablelands (R),3,Queensland,20.6885
30000740000,36820,Tablelands (R),3,Queensland,2.7475
30000752000,36820,Tablelands (R),3,Queensland,32.1285
30000760000,36820,Tablelands (R),3,Queensland,0.9332
30000770000,36820,Tablelands (R),3,Queensland,8.3478
30000782000,36820,Tablelands (R),3,Queensland,0.0636
30000790000,36820,Tablelands (R),3,Queensland,3.7892
30000800000,36820,Tablelands (R),3,Queensland,0.5897
30000810000,36820,Tablelands (R),3,Queensland,1.1831
30000820000,36820,Tablelands (R),3,Queensland,0.0499
30000830000,36820,Tablelands (R),3,Queensland,0.0179
30000840000,36820,Tablelands (R),3,Queensland,0.1155
30000850000,36820,Tablelands (R),3,Queensland,0.0894
30000861000,36820,Tablelands (R),3,Queensland,13.99
30000862000,36820,Tablelands (R),3,Queensland,14.7502
30000870000,36820,Tablelands (R),3,Queensland,10.3268
30000880000,36820,Tablelands (R),3,Queensland,25.6138
30000890000,36820,Tablelands (R),3,Queensland,4.6776
30000900000,36820,Tablelands (R),3,Queensland,20.7694
30000920000,36820,Tablelands (R),3,Queensland,0.7295
30000940000,36820,Tablelands (R),3,Queensland,0.2016
30000980000,36820,Tablelands (R),3,Queensland,21.8839
30000990000,36820,Tablelands (R),3,Queensland,7.5024
30001000000,36820,Tablelands (R),3,Queensland,44.4241
30001030000,36820,Tablelands (R),3,Queensland,7.1617
30001041000,36820,Tablelands (R),3,Queensland,10.1772
30001042000,36820,Tablelands (R),3,Queensland,6.7583
30001050000,36820,Tablelands (R),3,Queensland,6.5014
30001060000,36820,Tablelands (R),3,Queensland,0.5762
30001070000,36820,Tablelands (R),3,Queensland,1.1318
30001080000,36820,Tablelands (R),3,Queensland,1.3527
30001090000,36820,Tablelands (R),3,Queensland,2.7469
30001100000,36820,Tablelands (R),3,Queensland,0.3153
30001110000,36820,Tablelands (R),3,Queensland,13.5644
30001122000,36820,Tablelands (R),3,Queensland,0.3027
30001131000,36820,Tablelands (R),3,Queensland,0.0464
30001140000,36820,Tablelands (R),3,Queensland,0.0596
30001151000,36820,Tablelands (R),3,Queensland,0.546
30001152000,36820,Tablelands (R),3,Queensland,0.0367
30001153000,36820,Tablelands (R),3,Queensland,0.0332
30001160000,36820,Tablelands (R),3,Queensland,0.0653
30001170000,36820,Tablelands (R),3,Queensland,0.0709
30001180000,36820,Tablelands (R),3,Queensland,0.0286
30001190000,36820,Tablelands (R),3,Queensland,0.0741
30001200000,36820,Tablelands (R),3,Queensland,0.0244
30001210000,36820,Tablelands (R),3,Queensland,0.0653
30001220000,36820,Tablelands (R),3,Queensland,0.0267
30001230000,36820,Tablelands (R),3,Queensland,0.0543
30001241000,36820,Tablelands (R),3,Queensland,0.281
30001242000,36820,Tablelands (R),3,Queensland,0.0542
30001243000,36820,Tablelands (R),3,Queensland,0.0746
30001244000,36820,Tablelands (R),3,Queensland,0.0245
30001250000,36820,Tablelands (R),3,Queensland,0.0187
30001260000,36820,Tablelands (R),3,Queensland,0.028
30001270000,36820,Tablelands (R),3,Queensland,0.0756
30001280000,36820,Tablelands (R),3,Queensland,0.0269
30001291000,36820,Tablelands (R),3,Queensland,0.0439
30001292000,36820,Tablelands (R),3,Queensland,0.0448
30001301000,36820,Tablelands (R),3,Queensland,0.0272
30001303000,36820,Tablelands (R),3,Queensland,0.0407
30001310000,36820,Tablelands (R),3,Queensland,0.0264
30001320000,36820,Tablelands (R),3,Queensland,0.0336
30001330000,36820,Tablelands (R),3,Queensland,0.0305
30001340000,36820,Tablelands (R),3,Queensland,0.0663
30001350000,36820,Tablelands (R),3,Queensland,0.0526
30001360000,36820,Tablelands (R),3,Queensland,0.0321
30001380000,36820,Tablelands (R),3,Queensland,0.0445
30001390000,36820,Tablelands (R),3,Queensland,0.0562
30001410000,36820,Tablelands (R),3,Queensland,0.1349
30001420000,36820,Tablelands (R),3,Queensland,0.0355
30001430000,36820,Tablelands (R),3,Queensland,0.1114
30001440000,36820,Tablelands (R),3,Queensland,0.0887
30001450000,36820,Tablelands (R),3,Queensland,0.1158
30001460000,36820,Tablelands (R),3,Queensland,0.048
30001470000,36820,Tablelands (R),3,Queensland,0.0433
30001480000,36820,Tablelands (R),3,Queensland,0.0386
30001490000,36820,Tablelands (R),3,Queensland,0.0615
30001500000,36820,Tablelands (R),3,Queensland,0.0142
30001511000,36820,Tablelands (R),3,Queensland,0.0339
30001512000,36820,Tablelands (R),3,Queensland,0.0238
30001531000,36820,Tablelands (R),3,Queensland,0.0317
30001532000,36820,Tablelands (R),3,Queensland,0.0508
30001540000,36820,Tablelands (R),3,Queensland,0.0531
30001550000,36820,Tablelands (R),3,Queensland,0.0455
30001560000,36820,Tablelands (R),3,Queensland,0.0441
30001571000,36820,Tablelands (R),3,Queensland,0.0424
30001572000,36820,Tablelands (R),3,Queensland,0.0349
30001581000,36820,Tablelands (R),3,Queensland,0.0989
30001582000,36820,Tablelands (R),3,Queensland,0.0299
30001590000,36820,Tablelands (R),3,Queensland,0.064
30001600000,36820,Tablelands (R),3,Queensland,0.0905
30001610000,36820,Tablelands (R),3,Queensland,0.0406
30001620000,36820,Tablelands (R),3,Queensland,0.0722
30001642000,36820,Tablelands (R),3,Queensland,0.2566
30001643000,36820,Tablelands (R),3,Queensland,0.404
30001650000,36820,Tablelands (R),3,Queensland,0.0927
30001670000,36820,Tablelands (R),3,Queensland,0.0567
30001680000,36820,Tablelands (R),3,Queensland,0.0618
30001690000,36820,Tablelands (R),3,Queensland,0.0093
30001700000,36820,Tablelands (R),3,Queensland,0.0511
30001710000,36820,Tablelands (R),3,Queensland,0.0328
30001720000,36820,Tablelands (R),3,Queensland,0.0397
30001730000,36820,Tablelands (R),3,Queensland,0.0857
30001740000,36820,Tablelands (R),3,Queensland,0.0644
30001750000,36820,Tablelands (R),3,Queensland,0.0785
30001760000,36820,Tablelands (R),3,Queensland,0.0527
30001770000,36820,Tablelands (R),3,Queensland,0.0368
30001780000,36820,Tablelands (R),3,Queensland,0.0598
30001790000,36820,Tablelands (R),3,Queensland,0.0051
30001800000,36820,Tablelands (R),3,Queensland,0.0341
30001810000,36820,Tablelands (R),3,Queensland,0.0498
30001821000,36820,Tablelands (R),3,Queensland,0.0627
30001822000,36820,Tablelands (R),3,Queensland,0.0602
30001830000,36820,Tablelands (R),3,Queensland,0.0406
30001840000,36820,Tablelands (R),3,Queensland,0.0237
30001850000,36820,Tablelands (R),3,Queensland,0.0678
30001860000,36820,Tablelands (R),3,Queensland,0.6982
30001871000,36820,Tablelands (R),3,Queensland,0.2953
30001872000,36820,Tablelands (R),3,Queensland,0.1492
30001873000,36820,Tablelands (R),3,Queensland,0.4175
30001882000,36820,Tablelands (R),3,Queensland,30.2815
30001883000,36820,Tablelands (R),3,Queensland,1.4391
30001884000,36820,Tablelands (R),3,Queensland,8.6465
30001901000,36820,Tablelands (R),3,Queensland,0.3756
30001902000,36820,Tablelands (R),3,Queensland,0.3898
30001911000,36820,Tablelands (R),3,Queensland,0.8828
30001912000,36820,Tablelands (R),3,Queensland,0.1117
30001913000,36820,Tablelands (R),3,Queensland,0.0723
30001920000,36820,Tablelands (R),3,Queensland,0.0221
30001930000,36820,Tablelands (R),3,Queensland,0.014
30001940000,36820,Tablelands (R),3,Queensland,19.3514
30001950000,36820,Tablelands (R),3,Queensland,0.0318
30002050000,30250,Aurukun (S),3,Queensland,27.5859
30002080000,30250,Aurukun (S),3,Queensland,43.8395
30002162000,30250,Aurukun (S),3,Queensland,30.5428
30002180000,36960,Torres Strait Island (R),3,Queensland,102.5447
30002181000,36950,Torres (S),3,Queensland,0.0908
30002490000,30300,Balonne (S),3,Queensland,0.5581
30002500000,30300,Balonne (S),3,Queensland,0.0487
30002550000,30300,Balonne (S),3,Queensland,0.1366
30002560000,30300,Balonne (S),3,Queensland,0.1225
30002740000,30300,Balonne (S),3,Queensland,0.4159
30002750000,30300,Balonne (S),3,Queensland,0.0894
30002760000,30300,Balonne (S),3,Queensland,0.0798
30002770000,30300,Balonne (S),3,Queensland,0.1009
30002780000,30300,Balonne (S),3,Queensland,0.2045
30002790000,30300,Balonne (S),3,Queensland,0.0687
30002800000,30300,Balonne (S),3,Queensland,0.0695
30002810000,30300,Balonne (S),3,Queensland,0.9309
30002840000,30300,Balonne (S),3,Queensland,712.1816
30002890000,30300,Balonne (S),3,Queensland,1961.6525
30002900000,30300,Balonne (S),3,Queensland,4043.2132
30002910000,30300,Balonne (S),3,Queensland,50.3688
30002920000,30300,Balonne (S),3,Queensland,282.4232
30002930000,30300,Balonne (S),3,Queensland,1382.0298
30002960000,30300,Balonne (S),3,Queensland,1516.0177
30002990000,30300,Balonne (S),3,Queensland,1779.3869
30003010000,30300,Balonne (S),3,Queensland,0.1486
30003022000,30300,Balonne (S),3,Queensland,4.7955
30003030000,30300,Balonne (S),3,Queensland,1.482
30003050000,30300,Balonne (S),3,Queensland,378.247
30003060000,30300,Balonne (S),3,Queensland,2.4765
30003150000,30300,Balonne (S),3,Queensland,0.3
30003170000,30300,Balonne (S),3,Queensland,103.0482
30003261000,35780,Northern Peninsula Area (R),3,Queensland,56.1755
30003290000,30370,Banana (S),3,Queensland,0.0389
30003300000,30370,Banana (S),3,Queensland,0.0138
30003320000,30370,Banana (S),3,Queensland,0.008
30003340000,30370,Banana (S),3,Queensland,0.0273
30003370000,30370,Banana (S),3,Queensland,0.1901
30003380000,30370,Banana (S),3,Queensland,69.3303
30003400000,30370,Banana (S),3,Queensland,305.3881
30003410000,30370,Banana (S),3,Queensland,270.5133
30003421000,30370,Banana (S),3,Queensland,0.8484
30003422000,30370,Banana (S),3,Queensland,0.0468
30003441000,30370,Banana (S),3,Queensland,120.1536
30003442000,30370,Banana (S),3,Queensland,25.4741
30003480000,30370,Banana (S),3,Queensland,0.0203
30003490000,30370,Banana (S),3,Queensland,0.423
30003540000,30370,Banana (S),3,Queensland,26.1152
30003550000,30370,Banana (S),3,Queensland,112.9895
30003560000,30370,Banana (S),3,Queensland,116.2976
30003570000,30370,Banana (S),3,Queensland,0.2108
30003580000,30370,Banana (S),3,Queensland,0.3221
30003590000,30370,Banana (S),3,Queensland,0.2006
30003610000,30370,Banana (S),3,Queensland,6.5199
30003620000,30370,Banana (S),3,Queensland,77.6178
30003631000,30370,Banana (S),3,Queensland,599.2268
30003640000,30370,Banana (S),3,Queensland,0.0629
30003711000,30370,Banana (S),3,Queensland,158.4668
30003712000,30370,Banana (S),3,Queensland,40.1264
30003720000,30370,Banana (S),3,Queensland,151.7548
30003750000,30370,Banana (S),3,Queensland,2.5555
30003800000,30370,Banana (S),3,Queensland,0.1656
30003810000,30370,Banana (S),3,Queensland,0.1177
