MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
40000009499,49499,No usual address (SA),4,South Australia,0
40000010000,40070,Adelaide (C),4,South Australia,0.388
40000021000,40070,Adelaide (C),4,South Australia,0.0096
40000022000,40070,Adelaide (C),4,South Australia,0.0095
40000023000,40070,Adelaide (C),4,South Australia,0.0099
40000024000,40070,Adelaide (C),4,South Australia,0.0055
40000030000,40070,Adelaide (C),4,South Australia,0.0113
40000040000,40070,Adelaide (C),4,South Australia,0.024
40000051000,40070,Adelaide (C),4,South Australia,0.0235
40000052000,40070,Adelaide (C),4,South Australia,0.0044
40000053000,40070,Adelaide (C),4,South Australia,0.0038
40000060000,40070,Adelaide (C),4,South Australia,0.0158
40000071000,40070,Adelaide (C),4,South Australia,0.0015
40000073000,40070,Adelaide (C),4,South Australia,0.002
40000074000,40070,Adelaide (C),4,South Australia,0.0015
40000080000,40070,Adelaide (C),4,South Australia,0.2416
40000090000,40070,Adelaide (C),4,South Australia,0.0083
40000100000,40070,Adelaide (C),4,South Australia,0.0218
40000110000,40070,Adelaide (C),4,South Australia,0.01
40000120000,40070,Adelaide (C),4,South Australia,0.019
40000130000,40070,Adelaide (C),4,South Australia,0.0092
40000142000,40070,Adelaide (C),4,South Australia,0.0042
40000152000,40070,Adelaide (C),4,South Australia,0.004
40000153000,40070,Adelaide (C),4,South Australia,0.0028
40000154000,40070,Adelaide (C),4,South Australia,0.0098
40000155000,40070,Adelaide (C),4,South Australia,0.0078
40000161000,40070,Adelaide (C),4,South Australia,0.0076
40000162000,40070,Adelaide (C),4,South Australia,0.0075
40000163000,40070,Adelaide (C),4,South Australia,0.006
40000164000,40070,Adelaide (C),4,South Australia,0.0082
40000165000,40070,Adelaide (C),4,South Australia,0.0065
40000170000,40070,Adelaide (C),4,South Australia,0.0109
40000190000,40070,Adelaide (C),4,South Australia,0.0127
40000210000,40070,Adelaide (C),4,South Australia,0.0092
40000220000,40070,Adelaide (C),4,South Australia,0.0076
40000230000,40070,Adelaide (C),4,South Australia,0.0082
40000240000,40070,Adelaide (C),4,South Australia,0.0048
40000251000,40070,Adelaide (C),4,South Australia,0.0121
40000252000,40070,Adelaide (C),4,South Australia,0.0072
40000253000,40070,Adelaide (C),4,South Australia,0.0036
40000261000,40070,Adelaide (C),4,South Australia,0.0031
40000262000,40070,Adelaide (C),4,South Australia,0.0027
40000270000,40070,Adelaide (C),4,South Australia,0.0429
