MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
60000009499,69499,No usual address (Tas.),6,Tasmania,0
60000010000,60210,Break O'Day (M),6,Tasmania,0.046
60000020000,60210,Break O'Day (M),6,Tasmania,0.0019
60000030000,60210,Break O'Day (M),6,Tasmania,0.0099
60000040000,60210,Break O'Day (M),6,Tasmania,0.0048
60000050000,60210,Break O'Day (M),6,Tasmania,0.0031
60000060000,60210,Break O'Day (M),6,Tasmania,0.0001
60000070000,60210,Break O'Day (M),6,Tasmania,0.0424
60000080000,60210,Break O'Day (M),6,Tasmania,0.0106
60000090000,60210,Break O'Day (M),6,Tasmania,0.5073
60000100000,60210,Break O'Day (M),6,Tasmania,5.4174
60000110000,60210,Break O'Day (M),6,Tasmania,2.5858
60000120000,60210,Break O'Day (M),6,Tasmania,0.4173
60000130000,60210,Break O'Day (M),6,Tasmania,13.2986
60000140000,60210,Break O'Day (M),6,Tasmania,6.6774
60000160000,60210,Break O'Day (M),6,Tasmania,0.0045
60000170000,60210,Break O'Day (M),6,Tasmania,0.0038
60000180000,60210,Break O'Day (M),6,Tasmania,0.1203
60000190000,60210,Break O'Day (M),6,Tasmania,0.0577
60000200000,60210,Break O'Day (M),6,Tasmania,0.1222
60000210000,60210,Break O'Day (M),6,Tasmania,0.0166
60000220000,60210,Break O'Day (M),6,Tasmania,0.0017
60000230000,60210,Break O'Day (M),6,Tasmania,0.0062
60000240000,60210,Break O'Day (M),6,Tasmania,0.0025
60000250000,60210,Break O'Day (M),6,Tasmania,7.5738
60000270000,60210,Break O'Day (M),6,Tasmania,58.0619
60000280000,60210,Break O'Day (M),6,Tasmania,0.0136
60000290000,60210,Break O'Day (M),6,Tasmania,0.9667
60000300000,60210,Break O'Day (M),6,Tasmania,0.933
60000310000,60210,Break O'Day (M),6,Tasmania,1.5482
60000320000,60210,Break O'Day (M),6,Tasmania,16.7678
60000330000,60210,Break O'Day (M),6,Tasmania,0.1595
60000340000,60210,Break O'Day (M),6,Tasmania,4.8188
60000350000,60210,Break O'Day (M),6,Tasmania,74.3007
60000360000,60210,Break O'Day (M),6,Tasmania,24.841
60000371000,60210,Break O'Day (M),6,Tasmania,49.149
60000372000,60210,Break O'Day (M),6,Tasmania,0.1953
60000373000,60210,Break O'Day (M),6,Tasmania,0.1488
60000374000,60210,Break O'Day (M),6,Tasmania,0.1809
60000375000,60210,Break O'Day (M),6,Tasmania,0.1635
60000380000,60210,Break O'Day (M),6,Tasmania,7.4774
60000390000,60210,Break O'Day (M),6,Tasmania,0.2058
60000400000,60210,Break O'Day (M),6,Tasmania,2.5856
60000410000,60210,Break O'Day (M),6,Tasmania,0.2339
60000420000,60210,Break O'Day (M),6,Tasmania,0.2116
60000430000,60210,Break O'Day (M),6,Tasmania,0.2174
60000440000,60210,Break O'Day (M),6,Tasmania,0.1213
60000450000,60210,Break O'Day (M),6,Tasmania,0.183
