MB_CODE_2016,LGA_CODE_2020,LGA_NAME_2020,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
50000009499,59499,No usual address (WA),5,Western Australia,0
50000010000,50080,Albany (C),5,Western Australia,0.0357
50000020000,50080,Albany (C),5,Western Australia,0.0425
50000030000,50080,Albany (C),5,Western Australia,0.0816
50000040000,50080,Albany (C),5,Western Australia,0.0581
50000060000,50080,Albany (C),5,Western Australia,0.0154
50000070000,50080,Albany (C),5,Western Australia,0.0713
50000080000,50080,Albany (C),5,Western Australia,0.0446
50000090000,50080,Albany (C),5,Western Australia,0.0544
50000100000,50080,Albany (C),5,Western Australia,0.0378
50000110000,50080,Albany (C),5,Western Australia,0.0493
50000120000,50080,Albany (C),5,Western Australia,0.0324
50000130000,50080,Albany (C),5,Western Australia,0.0315
50000140000,50080,Albany (C),5,Western Australia,0.0258
50000150000,50080,Albany (C),5,Western Australia,0.0249
50000160000,50080,Albany (C),5,Western Australia,0.0299
50000170000,50080,Albany (C),5,Western Australia,0.0634
50000180000,50080,Albany (C),5,Western Australia,0.0391
50000190000,50080,Albany (C),5,Western Australia,0.0371
50000200000,50080,Albany (C),5,Western Australia,0.0322
50000220000,50080,Albany (C),5,Western Australia,0.0621
50000230000,50080,Albany (C),5,Western Australia,0.034
50000240000,50080,Albany (C),5,Western Australia,0.037
50000250000,50080,Albany (C),5,Western Australia,0.0475
50000260000,50080,Albany (C),5,Western Australia,0.0495
50000270000,50080,Albany (C),5,Western Australia,0.1486
50000280000,50080,Albany (C),5,Western Australia,0.2441
50000290000,50080,Albany (C),5,Western Australia,0.014
50000300000,50080,Albany (C),5,Western Australia,4.0262
50000330000,50080,Albany (C),5,Western Australia,0.0486
50000340000,50080,Albany (C),5,Western Australia,0.2735
50000350000,50080,Albany (C),5,Western Australia,0.0597
50000360000,50080,Albany (C),5,Western Australia,0.0262
50000370000,50080,Albany (C),5,Western Australia,0.045
50000380000,50080,Albany (C),5,Western Australia,0.0887
50000390000,50080,Albany (C),5,Western Australia,0.1176
50000400000,50080,Albany (C),5,Western Australia,0.0234
50000410000,50080,Albany (C),5,Western Australia,0.0396
50000420000,50080,Albany (C),5,Western Australia,0.078
50000430000,50080,Albany (C),5,Western Australia,0.0346
50000440000,50080,Albany (C),5,Western Australia,0.0685
50000451000,50080,Albany (C),5,Western Australia,0.0325
50000452000,50080,Albany (C),5,Western Australia,0.0052
50000453000,50080,Albany (C),5,Western Australia,0.0389
50000460000,50080,Albany (C),5,Western Australia,0.023
50000470000,50080,Albany (C),5,Western Australia,0.0699
50000491000,50080,Albany (C),5,Western Australia,0.1027
50000492000,50080,Albany (C),5,Western Australia,0.0482
50000500000,50080,Albany (C),5,Western Australia,0.0756
50000510000,50080,Albany (C),5,Western Australia,0.0361
50000520000,50080,Albany (C),5,Western Australia,0.0378
50000530000,50080,Albany (C),5,Western Australia,0.0374
50000540000,50080,Albany (C),5,Western Australia,0.0429
50000560000,50080,Albany (C),5,Western Australia,0.0622
50000570000,50080,Albany (C),5,Western Australia,0.0659
50000580000,50080,Albany (C),5,Western Australia,0.0334
50000590000,50080,Albany (C),5,Western Australia,0.0512
50000610000,50080,Albany (C),5,Western Australia,0.1043
50000620000,50080,Albany (C),5,Western Australia,0.0426
50000630000,50080,Albany (C),5,Western Australia,0.0596
50000640000,50080,Albany (C),5,Western Australia,0.0244
50000660000,50080,Albany (C),5,Western Australia,0.0279
50000680000,50080,Albany (C),5,Western Australia,0.1107
50000700000,50080,Albany (C),5,Western Australia,0.063
50000710000,50080,Albany (C),5,Western Australia,0.0461
50000720000,50080,Albany (C),5,Western Australia,0.0655
50000740000,50080,Albany (C),5,Western Australia,0.0973
50000750000,50080,Albany (C),5,Western Australia,0.0077
50000760000,50080,Albany (C),5,Western Australia,0.0126
50000770000,50080,Albany (C),5,Western Australia,0.0408
50000780000,50080,Albany (C),5,Western Australia,0.0557
50000790000,50080,Albany (C),5,Western Australia,0.0494
50000800000,50080,Albany (C),5,Western Australia,0.0196
50000810000,50080,Albany (C),5,Western Australia,0.1042
50000820000,50080,Albany (C),5,Western Australia,0.0719
50000830000,50080,Albany (C),5,Western Australia,0.0361
50000840000,50080,Albany (C),5,Western Australia,0.0666
50000850000,50080,Albany (C),5,Western Australia,0.0586
50000860000,50080,Albany (C),5,Western Australia,0.0475
50000870000,50080,Albany (C),5,Western Australia,0.0566
50000880000,50080,Albany (C),5,Western Australia,0.0399
50000890000,50080,Albany (C),5,Western Australia,0.0555
50000910000,50080,Albany (C),5,Western Australia,0.0617
50000920000,50080,Albany (C),5,Western Australia,0.0149
50000930000,50080,Albany (C),5,Western Australia,0.0589
50000940000,50080,Albany (C),5,Western Australia,0.0479
50000950000,50080,Albany (C),5,Western Australia,0.0377
50000960000,50080,Albany (C),5,Western Australia,0.039
50000970000,50080,Albany (C),5,Western Australia,0.0629
50000980000,50080,Albany (C),5,Western Australia,0.0354
50000990000,50080,Albany (C),5,Western Australia,1.2372
50001000000,50080,Albany (C),5,Western Australia,0.1286
50001010000,50080,Albany (C),5,Western Australia,0.0396
50001030000,50080,Albany (C),5,Western Australia,0.2388
50001040000,50080,Albany (C),5,Western Australia,0.9107
50001050000,50080,Albany (C),5,Western Australia,0.0445
50001060000,50080,Albany (C),5,Western Australia,0.0922
50001070000,50080,Albany (C),5,Western Australia,0.0508
50001080000,50080,Albany (C),5,Western Australia,0.1316
50001090000,50080,Albany (C),5,Western Australia,0.0846
50001100000,50080,Albany (C),5,Western Australia,0.0675
50001110000,50080,Albany (C),5,Western Australia,0.1659
50001120000,50080,Albany (C),5,Western Australia,0.0961
50001130000,50080,Albany (C),5,Western Australia,0.243
50001140000,50080,Albany (C),5,Western Australia,0.0479
50001150000,50080,Albany (C),5,Western Australia,0.0635
50001160000,50080,Albany (C),5,Western Australia,0.0491
50001181000,50080,Albany (C),5,Western Australia,0.114
50001182000,50080,Albany (C),5,Western Australia,0.0361
50001200000,50080,Albany (C),5,Western Australia,0.037
50001220000,50080,Albany (C),5,Western Australia,0.0447
50001231000,50080,Albany (C),5,Western Australia,0.0559
50001232000,50080,Albany (C),5,Western Australia,0.0473
50001233000,50080,Albany (C),5,Western Australia,0.0507
50001234000,50080,Albany (C),5,Western Australia,0.0559
50001235000,50080,Albany (C),5,Western Australia,0.0867
50001236000,50080,Albany (C),5,Western Australia,0.0329
50001237000,50080,Albany (C),5,Western Australia,0.0405
50001241000,50080,Albany (C),5,Western Australia,0.0284
50001242000,50080,Albany (C),5,Western Australia,0.0233
50001250000,50080,Albany (C),5,Western Australia,0.0228
50001260000,50080,Albany (C),5,Western Australia,0.028
50001280000,50080,Albany (C),5,Western Australia,0.0287
50001290000,50080,Albany (C),5,Western Australia,0.0142
50001300000,50080,Albany (C),5,Western Australia,0.0816
50001310000,50080,Albany (C),5,Western Australia,0.0175
50001320000,50080,Albany (C),5,Western Australia,0.0387
50001330000,50080,Albany (C),5,Western Australia,0.0408
50001341000,50080,Albany (C),5,Western Australia,0.0101
50001342000,50080,Albany (C),5,Western Australia,0.0196
50001343000,50080,Albany (C),5,Western Australia,0.0266
50001344000,50080,Albany (C),5,Western Australia,0.0457
50001345000,50080,Albany (C),5,Western Australia,0.0043
50001350000,50080,Albany (C),5,Western Australia,0.1312
50001361000,50080,Albany (C),5,Western Australia,0.0465
50001362000,50080,Albany (C),5,Western Australia,0.095
50001363000,50080,Albany (C),5,Western Australia,0.0207
50001364000,50080,Albany (C),5,Western Australia,0.0333
50001370000,50080,Albany (C),5,Western Australia,0.0621
50001380000,50080,Albany (C),5,Western Australia,0.1961
50001390000,50080,Albany (C),5,Western Australia,0.1357
50001400000,50080,Albany (C),5,Western Australia,0.1927
50001411000,50080,Albany (C),5,Western Australia,0.8984
50001412000,50080,Albany (C),5,Western Australia,1.2758
50001421000,50080,Albany (C),5,Western Australia,0.0885
50001422000,50080,Albany (C),5,Western Australia,0.0466
50001431000,50080,Albany (C),5,Western Australia,0.0799
50001432000,50080,Albany (C),5,Western Australia,0.1291
50001433000,50080,Albany (C),5,Western Australia,0.1926
50001440000,50080,Albany (C),5,Western Australia,0.0526
50001450000,50080,Albany (C),5,Western Australia,0.0627
