MB_CODE_2016,MB_CATEGORY_NAME_2016,SA1_MAINCODE_2016,SA1_7DIGITCODE_2016,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
70000009499,NOUSUALRESIDENCE,79999949999,7949999,799999499,79499,No usual address (NT),79999,No usual address (NT),799,No usual address (NT),79499,No usual address (NT),7,Northern Territory,0
70000011000,Residential,70201104512,7104512,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.2797
70000012000,Residential,70201104512,7104512,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.1552
70000013000,Industrial,70201104512,7104512,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.0674
70000014000,Industrial,70201104510,7104510,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.1533
70000020000,Other,70201104501,7104501,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,5.7018
70000050000,Other,70201104813,7104813,702011048,71048,Larapinta,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,8.771
70000071000,Other,70201104507,7104507,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,2.7086
70000072000,Residential,70201104506,7104506,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.0868
70000081000,Industrial,70201104512,7104512,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.2555
70000082000,Industrial,70201104512,7104512,702011045,71045,Charles,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.0763
